region,Gold,Silver,Bronze
Afghanistan,0,0,2
Algeria,2,4,4
Argentina,8,4,12
Armenia,1,4,9
Australia,62,83,73
Austria,4,6,4
Azerbaijan,7,11,25
Bahamas,5,1,4
Bahrain,1,1,1
Barbados,0,0,1
Belarus,12,22,35
Belgium,4,6,9
Botswana,0,1,0
Brazil,18,23,33
Bulgaria,8,10,17
Burundi,0,1,0
Cameroon,3,0,0
Canada,14,26,45
Chile,2,1,2
China,175,100,106
Colombia,5,6,10
Costa Rica,0,0,2
Croatia,10,8,10
Cuba,32,34,39
Cyprus,0,1,0
Czech Republic,11,14,18
Denmark,10,16,19
Dominican Republic,3,2,1
Ecuador,0,1,0
Egypt,1,3,7
Eritrea,0,0,1
Estonia,2,3,6
Ethiopia,14,8,15
Fiji,1,0,0
Finland,3,5,6
France,52,68,69
Gabon,0,1,0
Georgia,8,6,16
Germany,70,72,90
Greece,13,15,13
Grenada,1,1,0
Guatemala,0,1,0
Hungary,35,24,18
Iceland,0,1,1
India,1,4,8
Individual Olympic Athletes,1,0,1
Indonesia,4,8,8
Iran,13,8,11
Ireland,1,5,5
Israel,1,0,5
Italy,47,49,53
Ivory Coast,1,0,1
Jamaica,17,16,13
Japan,49,46,64
Jordan,1,0,0
Kazakhstan,16,18,25
Kenya,17,21,15
Kosovo,1,0,0
Kuwait,0,0,2
Kyrgyzstan,0,1,2
Latvia,3,6,3
Lithuania,5,6,11
Macedonia,0,0,1
Malaysia,0,6,2
Mauritius,0,0,1
Mexico,4,11,10
Moldova,0,1,4
Mongolia,2,5,5
Montenegro,0,1,0
Morocco,2,3,7
Mozambique,1,0,0
Netherlands,37,36,29
New Zealand,17,15,17
Niger,0,1,0
Nigeria,1,3,6
North Korea,8,9,11
Norway,14,9,10
Panama,1,0,0
Paraguay,0,1,0
Philippines,0,1,0
Poland,16,18,21
Portugal,1,4,4
Puerto Rico,1,1,1
Qatar,0,1,3
Romania,26,18,22
Russia,126,118,145
Saudi Arabia,0,1,2
Serbia,4,9,7
Slovakia,8,10,7
Slovenia,5,6,8
South Africa,6,14,8
South Korea,52,43,43
Spain,21,38,24
Sri Lanka,0,1,0
Sudan,0,1,0
Sweden,11,21,11
Switzerland,9,12,11
Syria,0,0,1
Taiwan,3,4,12
Tajikistan,1,1,2
Thailand,8,7,9
Togo,0,0,1
Trinidad,2,3,5
Tunisia,2,1,4
Turkey,10,11,15
UK,95,72,71
USA,200,167,159
Uganda,1,0,0
Ukraine,26,30,47
United Arab Emirates,1,0,1
Uruguay,0,1,0
Uzbekistan,9,6,16
Venezuela,1,1,5
Vietnam,1,3,0
Zimbabwe,2,4,1
